tweet_id,favorite_count,retweet_count,retweet_status,url
861005113778896900,15922,3577,Original tweet,https://t.co/jH6EN9cEn6
860981674716409858,0,2014,Original tweet,https://t…
860924035999428608,0,749,Original tweet,https://t.co/6n8hzNihJ9
860563773140209665,7145,2014,Original tweet,https://t.co/qZdSdzm08p https://t.co/oDIQ1KkdPt
860524505164394496,22569,4985,Original tweet,https://t.co/C2zHcNIu4I
860276583193509888,17540,3296,Original tweet,https://t.co/xJo6S2sfsN
860184849394610176,15921,5493,Original tweet,https://t.co/upRYxG4KbG
860177593139703809,0,29117,Original tweet,https://t.c…
859924526012018688,18709,3864,Original tweet,https://t.co/g8vpXFzw29
859851578198683649,14755,3310,Original tweet,https://t.co/BqSttrTuIl
859607811541651456,17817,1473,Original tweet,https://t.co/BArWupFAn0
859196978902773760,85836,28429,Original tweet,https://t.co/g2nSyGenG9
859074603037188101,32353,12858,Original tweet,https://t.co/gEsymGTXCT
858860390427611136,0,7663,Original tweet,…
858843525470990336,14939,3291,Original tweet,https://t.co/cUeDMlHJbq
858471635011153920,20623,4598,Original tweet,https://t.co/8jOC4zhNxy
858107933456039936,15110,2743,Original tweet,https://t.co/QXA4sCXSDF
857989990357356544,15441,2457,Original tweet,https://t.co/sOl7cFaP5X
857746408056729600,32877,10080,Original tweet,https://t.co/7IFn3rkJai
857393404942143489,5651,1558,Original tweet,https://t.co/Mj4j6QoIJk https://t.co/JdNE5oqYEV
857263160327368704,19271,4288,Original tweet,https://t.co/e3U4NReleC
857214891891077121,216,17,Original tweet,0
857062103051644929,0,161,Original tweet,https://t.co/…
857029823797047296,18117,3780,Original tweet,https://t.co/uMH5CLjXJu
856543823941562368,15704,2742,Original tweet,https://t.co/Bh9DtLhIBO
856526610513747968,11436,1786,Original tweet,https://t.co/p1hBHCmWnA
856330835276025856,0,638,Original tweet,h
856288084350160898,493,15,Original tweet,0
856282028240666624,26736,5999,Original tweet,https://t.co/GUefqUmZv8
855862651834028034,324,24,Original tweet,h
855860136149123072,4742,934,Original tweet,0
855857698524602368,11461,2015,Original tweet,https://t.co/sb73bV5Y7S
855851453814013952,44185,17238,Original tweet,https://t.co/cMhq16isel
855818117272018944,25746,5189,Original tweet,https://t.co/5BEjzT2Tth
855459453768019968,28787,7872,Original tweet,https://t.co/Xc7uj1C64x
855245323840757760,0,5698,Original tweet,…
855138241867124737,0,43,Original tweet,…
854732716440526848,22015,5813,Original tweet,https://t.co/nJztIEON5s
854482394044301312,28346,6580,Original tweet,https://t.co/AL4Ahm1Rm5
854365224396361728,18304,4507,Original tweet,https://t.co/mdaQhhfpv6
854120357044912130,31009,7170,Original tweet,https://t.co/oBL7LEJEzR
854010172552949760,15740,3027,Original tweet,https://t.co/TXdT3tmuYk
853760880890318849,27731,5525,Original tweet,https://t.co/yT4vw8y77x
853639147608842240,33650,9672,Original tweet,https://t.co/wiQZIsaWUe
853299958564483072,15063,3437,Original tweet,https://t.co/EX9Z3EXlVP
852936405516943360,0,1925,Original tweet,https://t…
852912242202992640,8784,1746,Original tweet,https://t.co/aVMjBqAy1x https://t.co/7gx2LksT3U
852672615818899456,14513,2081,Original tweet,https://t.co/VlyBzOXHEW
852553447878664193,15871,3348,Original tweet,https://t.co/ArnxkyD2kC
852311364735569921,32313,9612,Original tweet,https://t.co/2d370P0OEg
852226086759018497,19481,6627,Original tweet,https://t.co/NP5JW8LnmW
852189679701164033,11177,1540,Original tweet,https://t.co/jrFzScKWEG
851861385021730816,0,19,Original tweet,https://t.co/bO0rThDlXI
851591660324737024,15877,3365,Original tweet,https://t.co/BMtfCmNbnS
851464819735769094,23690,6845,Original tweet,https://t.co/E4a0R9my1M
851224888060895234,20223,5571,Original tweet,https://t.co/iHYfZdz444
850753642995093505,30117,8844,Original tweet,https://t.co/hLQ2Ilg2uN
850380195714523136,12815,2533,Original tweet,https://t.co/FXZQtBcnTO
850333567704068097,3381,319,Original tweet,S
850145622816686080,15984,3689,Original tweet,https://t.co/PCX25VV78l
850019790995546112,19970,4738,Original tweet,https://t.co/ecb3LvExde
849776966551130114,29787,7380,Original tweet,https://t.co/TCMC90mSOT
849668094696017920,0,4820,Original tweet,https…
849412302885593088,15556,3074,Original tweet,https://t.co/Uq3ChFgWA3
849336543269576704,11199,1849,Original tweet,https://t.co/jqPk1BZ6xu
849051919805034497,41499,8253,Original tweet,https://t.co/r6GjO6MbZz
848690551926992896,24705,4223,Original tweet,https://t.co/UOE79zb6VU
848324959059550208,24231,4500,Original tweet,https://t.co/1pSqUbLQ5Z
848213670039564288,8025,711,Original tweet,t
848212111729840128,16019,2962,Original tweet,https://t.co/DkOBbwulw1
847978865427394560,0,3174,Original tweet,https://t.c…
847971574464610304,0,422,Original tweet,https://t.co/0bYtoL7Wwt
847962785489326080,23101,4952,Original tweet,https://t.co/rcDs5LkiSj
847842811428974592,5337,1295,Original tweet,https://t.co/zK4cpKPFfU https://t.co/7Xvoalr798
847617282490613760,6867,403,Original tweet,0
847606175596138505,18462,3356,Original tweet,https://t.co/WTPBWT6Ux1
847251039262605312,20161,4224,Original tweet,https://t.co/zhbRIZQgnq
847157206088847362,19567,5733,Original tweet,https://t.co/Jlb9L0m3J0 https://t.co/Eh7fGFuy6r
847116187444137987,21126,3114,Original tweet,https://t.co/EeeErAbso0
846874817362120707,19782,3847,Original tweet,https://t.co/P7PBGqrKSe
846514051647705089,43907,11292,Original tweet,https://t.co/cFAasDXauK
846505985330044928,13891,3009,Original tweet,https://t.co/GJ8rozumsy
846153765933735936,31110,8853,Original tweet,https://t.co/a0CkS5ExFR
846139713627017216,30601,9830,Original tweet,https://t.co/4ctgpGcqAd
846042936437604353,15732,2804,Original tweet,https://t.co/0hLkztpiOW
845812042753855489,28794,8524,Original tweet,https://t.co/TLNexlqzXP
845677943972139009,24838,4706,Original tweet,https://t.co/z30iQLiXNo
